0,49,1755,1,Loved it!,2022-03-04 12:05:21
1,85,1359,5,Wouldn't recommend,2023-08-13 04:23:19
2,15,783,3,Highly recommend!,2022-07-20 11:00:20
3,58,38,2,Not as expected,2023-08-30 10:54:54
4,9,1825,1,Wouldn't recommend,2024-10-02 06:42:17
5,43,1365,0,This product was great!,2024-05-23 08:32:37
6,72,1163,0,Highly recommend!,2024-06-18 03:59:12
7,59,1557,1,Great value for money,2021-06-26 17:08:33
8,45,397,0,Great value for money,2024-11-21 09:44:10
9,3,1982,1,Broke after one use,2020-02-03 07:43:29
10,22,10,0,Broke after one use,2024-11-02 04:58:12
11,13,96,0,Loved it!,2024-09-05 22:30:55
12,0,178,0,Highly recommend!,2023-07-18 16:47:05
13,21,20,5,Great value for money,2023-01-30 19:24:24
14,29,1688,5,Great value for money,2020-01-07 03:29:38
15,7,1389,2,Highly recommend!,2024-09-25 06:25:23
16,46,910,4,Wouldn't recommend,2023-11-18 00:51:00
17,68,1964,1,Will buy again,2022-08-20 10:43:42
18,75,1590,0,Broke after one use,2022-08-19 19:30:41
19,78,1204,0,Loved it!,2022-03-01 04:22:42
20,9,1062,0,Will buy again,2020-05-12 18:01:58
21,28,1410,1,Exactly what I needed!,2024-04-06 20:35:30
22,95,884,3,Great value for money,2022-01-18 23:58:42
23,50,256,4,Not as expected,2021-08-01 23:17:44
24,19,195,2,Product arrived late,2020-10-26 04:27:28
25,98,1494,1,Wouldn't recommend,2021-12-27 02:49:22
26,20,1894,5,Highly recommend!,2021-03-14 14:31:17
27,57,1203,3,Loved it!,2024-10-05 05:33:41
28,78,565,4,Exactly what I needed!,2022-05-09 17:03:45
29,21,1137,1,Loved it!,2020-07-01 21:38:15
30,62,676,3,Great value for money,2024-10-31 04:56:40
31,57,1098,3,Loved it!,2023-01-09 02:58:06
32,57,856,2,Exactly what I needed!,2020-01-26 10:45:46
33,90,1463,2,Terrible quality,2022-02-19 10:24:08
34,22,716,5,Fantastic performance,2023-08-03 05:02:08
35,88,1493,1,This product was great!,2023-05-06 16:06:51
36,7,123,4,Exactly what I needed!,2020-10-26 09:28:49
37,20,417,1,Will buy again,2022-06-05 13:06:24
38,54,295,3,Product arrived late,2024-01-19 19:48:58
39,31,1911,2,Not as expected,2021-05-14 11:15:41
40,38,530,5,Loved it!,2024-05-15 22:42:04
41,90,881,2,Broke after one use,2022-07-27 07:02:21
42,40,1772,4,Terrible quality,2020-02-03 21:13:54
43,52,479,5,Exactly what I needed!,2023-04-18 14:36:13
44,8,1154,3,Great value for money,2023-05-06 16:06:29
45,17,1875,3,Exactly what I needed!,2024-08-10 13:34:53
46,39,184,2,Loved it!,2023-09-19 17:46:05
47,68,327,4,Great value for money,2024-10-10 11:50:46
48,92,1028,4,Not as expected,2023-12-15 07:05:45
49,76,215,4,Fantastic performance,2020-05-20 06:59:26
50,76,89,2,Great value for money,2022-07-08 06:19:26
51,54,1769,4,Fantastic performance,2021-05-06 13:38:07
52,7,865,2,Will buy again,2021-02-07 08:30:19
53,3,39,1,Terrible quality,2021-01-31 16:04:02
54,56,523,5,Terrible quality,2022-03-05 02:42:16
55,18,557,4,Product arrived late,2023-01-22 05:28:17
56,91,99,4,Great value for money,2024-03-10 04:18:02
57,26,1825,1,Great value for money,2023-10-24 11:38:09
58,63,960,0,Fantastic performance,2021-04-09 07:19:41
59,20,674,1,Loved it!,2023-04-28 10:23:34
60,27,12,4,Loved it!,2020-09-18 17:08:31
61,56,1241,4,Highly recommend!,2022-06-08 16:04:19
62,2,747,1,Highly recommend!,2023-06-25 22:29:24
63,79,620,3,Highly recommend!,2024-01-25 13:31:49
64,15,1553,5,Broke after one use,2020-12-21 15:43:21
65,97,1842,3,Fantastic performance,2023-07-31 05:51:33
66,51,14,3,Highly recommend!,2022-03-31 19:00:55
67,47,974,0,Exactly what I needed!,2022-11-23 11:53:54
68,66,467,5,Great value for money,2024-09-30 01:40:42
69,57,694,4,Not as expected,2021-06-18 10:26:44
70,25,1828,1,Broke after one use,2022-09-17 12:19:02
71,34,1523,3,Not as expected,2024-07-28 10:15:05
72,36,1772,4,This product was great!,2022-01-25 13:43:55
73,44,1870,2,Great value for money,2022-12-04 02:55:27
74,1,1618,3,Loved it!,2021-03-03 01:57:53
75,98,267,3,Product arrived late,2023-05-25 22:46:39
76,11,868,4,This product was great!,2020-12-30 18:41:38
77,10,1434,4,Not as expected,2022-01-17 21:01:59
78,87,1782,2,Loved it!,2021-11-17 14:15:52
79,43,1407,5,Loved it!,2022-02-23 23:51:16
80,8,280,0,Broke after one use,2021-08-04 02:00:11
81,56,728,5,Highly recommend!,2024-10-16 02:22:46
82,54,1757,5,Exactly what I needed!,2023-07-30 23:16:57
83,82,740,0,Exactly what I needed!,2023-12-14 16:58:58
84,26,754,4,Will buy again,2023-11-26 15:42:28
85,24,61,0,Will buy again,2024-02-01 10:01:29
86,57,395,4,Product arrived late,2021-10-24 08:36:26
87,42,822,0,Product arrived late,2020-09-13 18:14:38
88,51,1995,4,Will buy again,2020-05-13 02:31:19
89,49,874,1,Highly recommend!,2024-03-17 17:33:20
90,68,1406,3,Great value for money,2024-03-21 02:50:19
91,90,1398,4,Wouldn't recommend,2023-02-21 04:54:27
92,88,530,0,Broke after one use,2020-10-27 13:26:04
93,32,1184,0,Great value for money,2022-03-12 10:27:48
94,45,764,4,Exactly what I needed!,2021-01-10 18:05:55
95,41,1842,4,Fantastic performance,2021-01-20 05:26:45
96,3,1421,1,Broke after one use,2020-10-14 11:42:48
97,89,139,3,This product was great!,2024-05-16 09:08:06
98,1,1297,4,Terrible quality,2022-06-27 01:55:29
99,81,1790,4,Terrible quality,2019-12-22 20:19:31
100,44,1503,0,This product was great!,2022-01-28 07:17:54
101,20,1372,1,Terrible quality,2022-10-07 06:21:42
102,68,314,0,This product was great!,2024-06-30 05:57:06
103,40,1065,4,Not as expected,2021-07-09 12:13:01
104,65,1949,0,Wouldn't recommend,2021-06-14 17:14:09
105,13,1019,5,This product was great!,2020-03-05 03:10:32
106,7,1796,2,Highly recommend!,2021-09-21 00:16:44
107,68,220,2,This product was great!,2024-07-01 13:49:29
108,82,1499,3,Product arrived late,2020-10-12 07:18:18
109,92,1708,4,This product was great!,2021-01-20 21:11:10
110,49,1746,5,Will buy again,2024-01-17 16:51:58
111,62,1999,2,This product was great!,2019-12-19 17:03:03
112,52,812,2,Will buy again,2024-01-04 09:44:35
113,55,934,4,This product was great!,2021-10-10 00:53:35
114,95,91,1,Great value for money,2020-01-07 14:54:40
115,73,132,4,Terrible quality,2021-10-23 15:15:36
116,52,1917,1,This product was great!,2020-11-04 15:57:00
117,69,1749,3,This product was great!,2024-02-04 08:53:15
118,28,838,0,Great value for money,2022-07-03 06:48:44
119,29,1273,0,Terrible quality,2023-09-17 22:59:40
120,4,1976,3,Will buy again,2024-05-24 18:13:12
121,93,310,3,Great value for money,2023-04-20 02:07:19
122,68,476,4,Exactly what I needed!,2022-07-31 10:02:59
123,90,442,4,Exactly what I needed!,2024-05-21 16:44:02
124,49,1846,2,Great value for money,2024-06-06 19:08:22
125,94,1877,1,Will buy again,2022-10-06 20:37:21
126,80,749,0,Product arrived late,2022-01-16 04:34:18
127,11,1601,4,Great value for money,2021-03-24 20:27:41
128,49,380,2,This product was great!,2022-03-04 23:31:30
129,93,70,0,Exactly what I needed!,2021-02-02 07:25:44
130,36,852,2,Loved it!,2023-08-25 09:54:13
131,77,1592,1,Great value for money,2022-10-19 22:02:14
132,13,711,4,Will buy again,2023-08-01 09:08:02
133,80,1417,3,Fantastic performance,2023-10-14 03:33:53
134,92,1488,2,This product was great!,2023-05-22 16:30:40
135,54,1721,3,Great value for money,2024-09-21 19:31:27
