"0","50","205","1984-01-01 09:16:53"
"1","31","39","1971-04-02 04:38:57"
"2","75","1345","2007-09-24 10:19:53"
"3","71","79","2024-04-11 20:21:35"
"4","24","195","1979-08-16 14:41:44"
"5","48","1090","2013-11-11 09:09:31"
"6","80","1025","2004-01-12 23:47:57"
"7","35","263","1989-06-18 04:34:56"
"8","87","799","1970-10-15 02:46:37"
"9","8","1488","1992-09-30 13:39:23"
"10","51","945","2015-02-06 17:52:50"
"11","46","417","1971-09-03 19:17:08"
"12","33","1465","2018-04-26 06:48:58"
"13","80","1723","1997-03-29 06:36:14"
"14","71","648","1996-07-24 19:16:11"
"15","7","829","1996-06-10 10:48:57"
"16","72","631","1980-03-30 06:05:57"
"17","60","1293","1994-09-09 10:12:51"
"18","47","127","1990-10-30 02:15:18"
"19","44","399","2014-10-26 23:40:27"
"20","81","685","1992-10-12 02:14:11"
"21","52","296","1975-04-18 00:43:38"
"22","67","1104","1999-11-30 09:45:43"
"23","26","1427","2012-11-30 23:14:33"
"24","17","1864","1970-04-30 06:45:30"
"25","28","187","2023-06-07 16:46:46"
"26","72","1543","2011-04-03 16:42:49"
"27","80","973","2009-12-30 17:32:15"
"28","49","1715","1993-07-07 16:51:26"
"29","82","358","1980-03-30 22:18:52"
"30","45","1332","1970-06-30 18:58:34"
"31","97","1679","2020-11-16 12:37:14"
"32","68","1713","1974-11-04 20:56:40"
"33","41","1611","2008-09-01 12:23:27"
"34","63","1171","2011-08-27 13:01:33"
"35","22","1044","2015-03-18 04:30:22"
"36","95","1566","2003-07-16 00:00:58"
"37","12","1554","2023-09-04 18:09:21"
"38","61","129","1984-03-11 07:34:05"
"39","85","1591","1999-04-22 15:53:42"
"40","7","1040","1991-09-27 14:50:25"
"41","29","1285","1975-05-21 07:53:06"
"42","60","1364","1981-06-18 05:49:33"
"43","20","1488","1988-09-20 15:57:15"
"44","72","1430","2007-06-16 12:12:48"
"45","0","1918","1993-12-08 13:35:53"
"46","42","69","2006-02-20 23:13:05"
"47","13","385","1982-04-15 06:51:08"
"48","22","1335","1979-11-07 20:12:43"
"49","1","1968","1988-07-14 02:27:52"
"50","33","304","1977-09-07 17:16:53"
"51","72","376","2015-08-17 15:56:06"
"52","99","1898","2007-09-04 10:58:58"
"53","19","885","1994-12-11 17:32:09"
"54","29","1428","1998-01-15 18:23:05"
"55","76","1055","1993-05-30 06:08:04"
"56","38","285","1996-08-27 18:52:16"
"57","58","1192","2016-10-03 14:09:51"
"58","6","1083","1972-04-09 10:09:06"
"59","91","1839","1992-07-11 08:52:44"
"60","5","1669","1999-05-18 21:11:37"
"61","41","1320","2010-04-11 17:10:29"
"62","7","1193","1995-12-21 08:18:28"
"63","90","751","1978-07-24 06:20:54"
"64","13","358","1992-05-17 19:35:02"
"65","73","2000","2012-02-22 10:37:09"
"66","86","175","1980-12-31 08:50:03"
"67","24","387","1973-02-09 17:11:07"
"68","55","1163","1993-01-20 20:31:54"
"69","6","345","1994-03-05 02:49:46"
"70","57","1726","1981-07-29 08:44:28"
"71","72","802","1970-04-10 22:34:51"
"72","36","1907","2014-03-13 00:07:45"
"73","21","629","1986-11-28 11:00:04"
"74","8","1725","1993-03-24 12:38:08"
"75","75","1701","1978-03-11 13:20:24"
"76","90","555","1998-09-11 21:57:32"
"77","16","254","2023-06-30 16:08:54"
"78","75","619","2015-05-01 16:28:15"
"79","19","1237","2009-06-13 11:14:11"
"80","2","777","1970-11-01 02:33:26"
"81","4","1397","2023-03-17 07:29:12"
"82","70","1388","1986-04-17 22:22:53"
"83","86","1393","1994-11-04 13:34:00"
"84","72","987","1985-02-10 15:21:11"
"85","47","186","1999-06-22 02:11:41"
"86","17","1027","2005-07-05 21:39:19"
"87","25","521","1981-06-15 00:21:55"
"88","1","1820","1990-06-23 16:51:21"
"89","69","1193","2003-01-02 00:25:43"
"90","18","1745","2023-06-23 12:29:55"
"91","80","523","1988-01-15 12:50:57"
"92","82","423","1981-07-02 15:21:47"
"93","82","749","2020-06-02 17:15:38"
"94","88","158","2005-11-19 06:39:42"
"95","18","1505","2014-12-29 08:04:40"
"96","25","941","2006-12-31 01:39:42"
"97","67","650","1973-09-12 23:52:17"
"98","53","1287","2007-08-06 02:51:49"
"99","54","804","1980-12-20 13:39:08"
"100","63","528","1984-08-03 17:47:11"
